"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WP_008767192.1",3.7237148555911,2.92794833687891,1.41627151820433,2.06736370762522,0.0386998953250824,NA
"WP_008767194.1",7.01895461323894,0.934665418362147,1.22002581259305,0.766102986276661,0.44361502626494,0.744584432844457
"WP_008767195.1",7.26542389929649,0.941090826274964,1.11717106298298,0.842387399260179,0.399571143890289,0.711030469195434
"WP_008767196.1",3.4697506167687,2.5009091200054,1.38521292695774,1.80543299252772,0.0710069522617801,NA
"WP_008767197.1",8.31477039264874,1.69763595700154,1.10184976592298,1.54071454158679,0.123386276095422,0.405732170089034
"WP_008767198.1",2.58726671189131,2.78694057374985,1.57036633735806,1.77470728163883,0.075946232383176,NA
"WP_008767199.1",3.25236788372904,0.887149687998767,1.30317113269077,0.680762231255837,0.496021951991753,NA
"WP_008767200.1",1.89323704242363,0.664773788734279,1.73971913268518,0.382115581903287,0.702375634536311,NA
"WP_008767201.1",1.92665588411292,0.0739075058350751,1.59183549867478,0.0464291102294201,0.962968234917039,NA
"WP_008767202.1",1.72440927807126,-0.546415756003784,1.79798046009595,-0.303905280469302,0.761200054720453,NA
"WP_008767203.1",2.06042869345072,-0.177033330550574,1.60562346994047,-0.11025831016106,0.912204519289543,NA
"WP_008767204.1",3.61895169227449,1.15227258519372,1.29684446754124,0.888520261321987,0.374260962005145,NA
"WP_008767205.1",6.44900538951371,1.5628717411833,1.12425899771519,1.39013496388242,0.164487897850861,0.464206570579054
"WP_008767206.1",1.90645405692634,0.603058648745231,1.70567258542771,0.35356061526545,0.723668194634929,NA
"WP_008767207.1",4.48574268071548,1.91965676390302,1.25163507692935,1.5337192120027,0.125098745264357,0.40858068210918
"WP_008767215.1",0,NA,NA,NA,NA,NA
"WP_008767216.1",6.26971046034052,-2.22885806444779,1.40593846158151,-1.58531694334658,0.112894341332374,0.392152166474684
"WP_008767220.1",70.8003379836141,1.48635790642404,0.835245615350495,1.77954589537153,0.0751503074815462,0.320162412902999
"WP_008767223.1",15.7050155499147,1.31700615576154,1.14691362515065,1.14830456878437,0.250842853694049,0.577197575180033
"WP_008767224.1",8.1715553105891,2.07673216070264,1.20010023861927,1.73046558435148,0.0835471249786833,0.335157180571097
"WP_008767225.1",9.80464474451036,2.1736712622933,1.04770415693074,2.07469947304694,0.0380143962598217,0.21764368767728
"WP_008767227.1",2.44811579788798,2.19174879054335,1.4856159876836,1.47531314196528,0.140128374829303,NA
"WP_008767229.1",2.52290362544979,2.46127134903462,1.53049551526767,1.60815325787098,0.107801617421349,NA
"WP_008767232.1",25.1251724917293,0.70230507626633,0.873174511646387,0.804312387614385,0.421216585253142,0.728184306538384
"WP_008767233.1",40.9407326731666,1.20600005513208,0.80785161704466,1.49284847574354,0.135476854828281,0.424032627159414
"WP_008767234.1",17.5852091056906,-0.316064789102306,0.95237618331678,-0.331869690400665,0.73998765808418,0.902249261561393
"WP_008767236.1",0,NA,NA,NA,NA,NA
"WP_008767237.1",0,NA,NA,NA,NA,NA
"WP_008767238.1",0,NA,NA,NA,NA,NA
"WP_008767239.1",0,NA,NA,NA,NA,NA
"WP_008767240.1",0,NA,NA,NA,NA,NA
"WP_008767241.1",0,NA,NA,NA,NA,NA
"WP_008767242.1",0,NA,NA,NA,NA,NA
"WP_008767243.1",0,NA,NA,NA,NA,NA
"WP_008767244.1",0,NA,NA,NA,NA,NA
"WP_008767245.1",0,NA,NA,NA,NA,NA
"WP_008767247.1",4.42997141069019,1.4255047742304,1.31063476471273,1.08764456171194,0.276752050369423,0.600919667251725
"WP_008767248.1",2.46817782419417,0.676451299991381,1.47959033402876,0.457188239496996,0.647535750689528,NA
"WP_008767250.1",5.8052495004318,2.10544218371018,1.2686135656792,1.65964028816211,0.0969868383562136,0.36496018925777
"WP_008767251.1",10.452373735217,-2.27551891534107,1.30800866790493,-1.73968183176173,0.0819149012663266,0.333765779140012
"WP_008767252.1",0.757301203305972,0.0664862312126746,2.11342786067511,0.0314589546441563,0.974903525379244,NA
"WP_008767253.1",0.731567914422708,-0.0210082439663127,2.29233315713791,-0.00916456837911924,0.992687834741312,NA
"WP_008767254.1",1.2533022542683,1.24083398340461,1.85191569437937,0.670027251872527,0.502840417981485,NA
"WP_008767255.1",6.09913528442152,3.74535855809642,1.41626137973149,2.64453907428197,0.00818022613955304,0.0849394807393733
"WP_008767256.1",3.81909539392001,2.18458357045586,1.37818750390625,1.58511346552193,0.112940556685283,NA
"WP_008767260.1",0.722114252595425,0.311307317781317,2.56539781116613,0.121348555154418,0.903414962692993,NA
"WP_008767264.1",2.34115279091708,0.366177291836653,1.5246221084463,0.240175771955592,0.810193995218321,NA
"WP_008767289.1",1.05809994976368,0.705603283672496,1.94828105832144,0.362167091169288,0.717227170081923,NA
"WP_008767292.1",0.972253593949859,0.0329075027352699,2.32314530824131,0.0141650643283187,0.988698291817082,NA
"WP_008767297.1",1.40480787148463,-0.320747189412674,1.73032049337768,-0.185368658950896,0.852939888926307,NA
"WP_008767298.1",2.21207604183191,1.22131291861778,1.56384418061346,0.780968419845183,0.434821068831462,NA
"WP_008767299.1",9.48343241703435,1.07591081830899,1.08720095412122,0.989615410316346,0.322362134823167,0.648980614720441
"WP_008767302.1",6.49657796138053,2.38540056666302,1.17139137412968,2.03638221976435,0.0417119894375496,0.227569931074541
"WP_008767316.1",0.921152504878554,1.37907815126112,2.10567581013793,0.654933748405833,0.512510410461369,NA
"WP_008767317.1",2.38300409602982,3.04153553051273,1.69091947108115,1.79874652964285,0.0720587849901668,NA
"WP_008767319.1",2.07590836473191,0.341236332811714,1.62523365395621,0.209961399692323,0.833697800070299,NA
